rank,naics_code,entity_name,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022,bls_establishments_2024,bls_employment_2024,bls_average_annual_pay_usd_2024,bls_employment_growth_pct_2024,bls_pay_growth_pct_2024,sba_size_standard_basis,sba_size_standard_value,sba_size_standard_display,employees_per_establishment,payroll_per_establishment_usd,employment_gap_ratio_bls_to_cbp,fragmentation,operating_complexity,willingness_to_pay,growth,market_scale,workflow_intensity,thesis_fit,software_wedge,rollup_wedge,confidence,workflow_matrix_industry_code,workflow_mapping_type,workflow_coverage_share_pct,workflow_frontline_operator_share_pct,workflow_knowledge_work_share_pct,workflow_documentation,workflow_coordination,workflow_compliance,workflow_care_service,workflow_top_occupations,recommended_move,summary,caveats
34,532111,Passenger Car Rental,direct,532111,9597,78075,3945557000,50535.47,9926,108334,52712,-0.1,-1.9,receipts_millions_usd,47.0,$47.00M,8.14,411124.0,1.388,82.7,37.6,57.2,32.9,68.4,81.0,77.0,63.6,75.1,85.0,532100,numeric_parent,91.0,91.1,2.1,68.7,64.9,66.1,59.6,Counter and rental clerks (29.6%)|Cleaners of vehicles and equipment (11.4%)|Bus and truck mechanics and diesel engine specialists (5.9%),acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
35,441120,Used Car Dealers,direct,441120,25607,187929,9700939000,51620.23,26018,166346,64243,-2.8,6.9,receipts_millions_usd,30.5,$30.50M,7.34,378839.34,0.885,89.7,30.9,38.0,40.3,84.9,79.6,84.0,63.3,74.7,90.0,441100,numeric_parent,94.4,89.8,3.0,63.7,65.0,66.9,56.4,Automotive service technicians and mechanics (20.3%)|Retail salespersons (17.9%)|Cleaners of vehicles and equipment (5.9%),acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
36,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,direct,532490,9599,117702,8541467000,72568.58,9443,82983,82637,3.9,3.6,receipts_millions_usd,40.0,$40.00M,12.26,889828.84,0.705,77.5,32.5,56.5,71.2,80.3,77.2,73.0,64.4,73.3,90.0,5320A1,broad_parent,88.4,82.7,7.8,66.8,67.6,69.1,57.3,"Laborers and freight, stock, and material movers, hand (8.7%)|Counter and rental clerks (7.6%)|General and operations managers (6.1%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
37,484230,"Specialized Freight (except Used Goods) Trucking, Long‑Distance",direct,484230,11976,173625,11048936000,63636.78,12743,132242,80210,-1.4,3.2,receipts_millions_usd,34.0,$34.00M,14.5,922589.85,0.762,76.1,38.6,50.9,32.5,85.2,80.1,98.0,64.4,73.1,90.0,484000,broad_parent,93.8,93.3,2.5,60.6,61.4,72.7,49.5,"Heavy and tractor-trailer truck drivers (58.3%)|Laborers and freight, stock, and material movers, hand (7.0%)|Bus and truck mechanics and diesel engine specialists (3.7%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
38,811210,Electronic and Precision Equipment Repair and Maintenance,aggregated_2017_to_2022,811211|811212|811213|811219,11421,105752,6780657000,64118.48,16134,103463,80512,-2.2,4.3,receipts_millions_usd,34.0,$34.00M,9.26,593700.81,0.978,82.7,27.7,45.8,34.1,77.2,73.0,100.0,62.0,72.7,80.0,811200,exact_title,84.5,75.1,15.3,68.4,66.6,71.1,51.6,"Computer, automated teller, and office machine repairers (10.6%)|Medical equipment repairers (10.0%)|General and operations managers (5.3%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP business anchors are aggregated forward from 2017 NAICS into the 2022 definition. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
39,813211,Grantmaking Foundations,direct,813211,12726,107572,8873785000,82491.59,11852,78153,103663,1.8,4.6,receipts_millions_usd,40.0,$40.00M,8.45,697295.69,0.727,84.6,19.3,53.6,65.9,80.2,50.3,78.0,58.9,72.7,90.0,813200,numeric_parent,80.3,23.9,47.8,73.8,75.3,65.8,59.1,Fundraisers (10.1%)|General and operations managers (9.1%)|Fundraising managers (4.1%),acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
40,561730,Landscaping Services,direct,561730,117109,774028,38522453000,49768.81,123133,900726,50368,2.5,4.3,receipts_millions_usd,9.5,$9.50M,6.61,328945.28,1.164,94.0,34.5,11.3,68.1,95.8,79.7,92.0,65.5,72.1,90.0,561730,exact_code,94.2,93.6,1.5,49.5,64.3,67.8,62.7,"Landscaping and groundskeeping workers (61.3%)|First-line supervisors of landscaping, lawn service, and groundskeeping workers (9.1%)|Tree trimmers and pruners (4.5%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence."
41,522291,Consumer Lending,direct,522291,13845,85685,7288231000,85058.42,15548,89298,106731,-3.1,9.0,receipts_millions_usd,47.0,$47.00M,6.19,526416.11,1.042,88.5,13.6,59.7,41.5,75.8,59.1,46.0,54.5,71.9,90.0,522290,numeric_parent,89.2,46.4,38.2,74.5,69.5,69.3,49.0,Loan officers (20.0%)|Loan interviewers and clerks (13.3%)|Customer service representatives (6.0%),acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: Finance and insurance markets are less aligned with the first-wedge thesis.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
42,621340,"Offices of Physical, Occupational and Speech Therapists and Audiologists",direct,621340,50883,464527,21868981000,47077.95,51724,491448,51946,4.5,2.6,receipts_millions_usd,12.5,$12.50M,9.13,429789.54,1.058,88.9,40.0,16.4,68.8,93.0,85.6,90.0,66.7,71.7,90.0,621340,exact_code,92.0,90.0,4.5,79.0,74.9,74.0,86.6,Physical therapists (18.5%)|Physical therapist assistants (10.2%)|Speech-language pathologists (9.8%),acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence."
43,541219,Other Accounting Services,direct,541219,46452,247793,13673541000,55181.3,71408,287389,79081,1.2,6.7,receipts_millions_usd,25.0,$25.00M,5.33,294358.5,1.16,94.4,19.4,32.4,68.2,88.3,52.1,62.0,57.2,71.6,90.0,541200,numeric_parent,89.7,33.3,54.8,77.8,72.0,68.6,51.9,"Accountants and auditors (31.4%)|Bookkeeping, accounting, and auditing clerks (9.4%)|Tax preparers (6.3%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: Specialist professional services can skew toward knowledge-work rather than repeatable operator workflows.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
44,623210,Residential Intellectual and Developmental Disability Facilities,direct,623210,35807,530422,19769288000,37270.87,24640,404467,43443,5.7,2.8,receipts_millions_usd,19.0,$19.00M,14.81,552106.79,0.763,80.2,53.5,28.5,72.9,92.8,68.8,86.0,66.3,71.5,90.0,623210,exact_code,27.0,57.8,26.3,75.5,75.6,72.2,78.4,Residential advisors (2.4%)|Social and human service assistants (2.1%)|Registered nurses (1.9%),acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
45,621111,Offices of Physicians (except Mental Health Specialists),direct,621111,197739,2582111,263986588000,102236.73,224051,2871838,111440,1.9,3.5,receipts_millions_usd,16.0,$16.00M,13.06,1335025.4,1.112,85.4,27.6,34.3,59.2,99.5,86.2,86.0,64.8,71.5,90.0,621100,numeric_parent,87.2,91.6,3.7,80.3,73.3,75.4,83.8,Medical assistants (15.5%)|Medical secretaries and administrative assistants (8.9%)|Registered nurses (7.7%),acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
46,531130,Lessors of Miniwarehouses and Self Storage Units,direct,531130,18286,47056,1922855000,40863.12,18747,60422,54156,2.2,2.9,receipts_millions_usd,34.0,$34.00M,2.57,105154.49,1.284,94.4,25.6,36.1,58.3,52.4,74.2,83.0,62.6,71.5,90.0,531000,broad_parent,92.1,70.0,7.6,70.7,73.0,70.1,58.5,"Maintenance and repair workers, general (16.8%)|Property, real estate, and community association managers (13.1%)|Real estate sales agents (8.4%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: Very small average site size can make the workflow wedge thinner at the company level.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
